"平成29年度公共事業の用地取得に係る業務委託の随意契約結果","","","",""
"伊都振興局建設部","不動産鑑定業務","国道４８０号交通安全施設等整備工事に係る意見書","株式会社　
明和不動産鑑定所","単価契約","H29.5.30","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","庵の谷川砂防事業に係る意見書","株式会社
明和不動産鑑定所","単価契約","H29.5.30","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","上富田南部線道路改良事業に係る意見書","有限会社
紀州不動産鑑定事務所","単価契約","H29.5.31","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","根来川河川整備工事に係る意見書","南海鑑定センター
株式会社","単価契約","H29.6.1","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","田辺白浜線小規模道路改良工事に係る意見書","小林一三不動産鑑定事務所","単価契約","H29.6.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","江川災害復旧助成事業に係る意見書","有限会社
衣奈不動産鑑定所","単価契約","H29.6.7","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","和歌山打田線交付金交通安全工事に係る意見書","清水不動産鑑定士
事務所","単価契約","H29.6.8","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","和歌山打田線交付金交通安全工事に係る意見書","清水不動産鑑定士
事務所","単価契約","H29.6.8","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","泉佐野打田線他１線道路改良工事に係る意見書","有限会社
アトラス鑑定","43200.0","H29.6.9","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","山田川（北谷川）堤防改修工事に係る不動産鑑定業務","有限会社
衣奈不動産鑑定所","単価契約","H29.6.14","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており、経験が豊富であるため。",""
"東牟婁振興局串本建設部","不動産鑑定業務","国道３７１号道路改良工事に係る不動産鑑定業務","小林一三不動産鑑定事務所","単価契約","H29.6.14","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","国道３７１号道路改良工事に係る不動産鑑定業務","イーストノース
株式会社　","単価契約","H29.6.16","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","国道３７１号道路改良工事に係る不動産鑑定業務","イーストノース
株式会社　","単価契約","H29.6.16","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","上富田南部線道路改良事業に係る意見書","有限会社
紀州不動産鑑定事務所","単価契約","H29.6.16","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局串本建設部","不動産鑑定業務","城すさみ線道路改良工事に係る不動産鑑定業務","小川不動産鑑定事務所","単価契約","H29.6.16","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","粉河加太線道路改良工事に係る不動産鑑定業務","株式会社
井崎不動産鑑定事務所","単価契約","H29.6.19","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局串本建設部","不動産鑑定業務","国道３７１号道路改良工事にかかる不動産鑑定業務","有限会社
紀州不動産鑑定事務所","単価契約","H29.6.19","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局串本建設部","不動産鑑定業務","国道３７１号道路改良工事にかかる不動産鑑定業務","有限会社
紀州不動産鑑定事務所","単価契約","H29.6.19","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","御坊由良線交付金交通安全事業に係る意見書","清水不動産鑑定士事務所","単価契約","H29.6.21","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","秋月海南線道路改良工事に係る不動産鑑定","株式会社
明和不動産鑑定所","単価契約","H29.6.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","黒山谷川砂防事業に係る意見書","小川不動産鑑定事務所","単価契約","H29.6.23","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","南港山東線道路改良工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","H29.6.26","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","那智勝浦本宮線小規模道路改良工事に伴う不動産鑑定業務","株式会社
明和不動産鑑定所","単価契約","H29.6.26","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","那智勝浦本宮線小規模道路改良工事に伴う不動産鑑定業務","株式会社
明和不動産鑑定所","単価契約","H29.6.26","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道４２４号道路改良工事に係る不動産鑑定業務","株式会社
明和不動産鑑定所","単価契約","H29.6.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道４２４号道路改良工事に係る不動産鑑定業務","株式会社
明和不動産鑑定所","単価契約","H29.6.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道４２４号道路改良工事に係る不動産鑑定","株式会社
明和不動産鑑定所","単価契約","H29.6.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","西脇山口線道路改良工事に係る不動産鑑定","株式会社
井崎不動産鑑定事務所","単価契約","H29.6.29","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","杭ノ瀬川堤防改修工事に係る不動産鑑定","株式会社
井崎不動産鑑定事務所","単価契約","H29.6.29","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","海南金屋線道路改良工事に係る不動産鑑定業務","小川不動産鑑定事務所","単価契約","H29.6.29","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る意見書","清水不動産鑑定士事務所","単価契約","H29.6.30","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","岩出野上線交付金交通安全工事に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H29.7.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","岩出野上線交付金交通安全工事に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H29.7.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","岩出野上線交付金交通安全工事に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H29.7.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","国道３７１号道路改良工事に係る不動産鑑定業務","株式会社　
明和不動産鑑定所","単価契約","H29.7.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","国道３７１号道路改良工事に係る不動産鑑定業務","株式会社　
明和不動産鑑定所","単価契約","H29.7.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","芳養清川線道路改良工事に係る不動産鑑定業務","藍畑不動産鑑定事務所","単価契約","H29.7.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","谷奥谷川砂防事業に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H29.7.7","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局串本建設部","不動産鑑定業務","すさみ古座線道路改良工事に係る不動産鑑定業務","有限会社
アトラス鑑定","単価契約","H29.7.10","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","中三谷下井阪線交通安全施設等整備工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","H29.7.13","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","国道４２４号道路改良工事に係る意見書","有限会社
わかさ不動産鑑定","単価契約","H29.7.19","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており、経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道３７０号道路改良工事（美里２バイパス）に係る不動産鑑定","有限会社
アトラス鑑定","単価契約","H29.7.20","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道３７０号道路改良工事（美里２バイパス）に係る不動産鑑定","有限会社
アトラス鑑定","単価契約","H29.7.20","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","楠本小川線道路改良工事に係る不動産鑑定業務","有限会社
衣奈不動産鑑定所","単価契約","H29.7.21","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており、経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","引尾下津線小規模道路改良工事に係る意見書","株式会社
阪和不動産鑑定所","単価契約","H29.7.27","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","引尾下津線小規模道路改良工事に係る意見書","株式会社
阪和不動産鑑定所","単価契約","H29.7.27","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","畑地区砂防工事に係る不動産鑑定業務","有限会社
衣奈不動産鑑定所","単価契約","H29.7.28","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており、経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","太田川河川整備工事に係る不動産鑑定業務","有限会社
アトラス鑑定","単価契約","H29.7.31","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","清の川砂防工事に係る不動産鑑定業務","小川不動産鑑定事務所","単価契約","H29.7.31","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","清の川砂防工事に係る不動産鑑定業務","小川不動産鑑定事務所","単価契約","H29.7.31","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","引尾下津線小規模道路改良工事に係る不動産鑑定","小林一三不動産鑑定事務所","単価契約","H29.8.1","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","畑峰峠谷川砂防事業に係る意見書","藍畑不動産鑑定事務所","単価契約","H29.8.2","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","H29.8.10","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","H29.8.10","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","奥佐々阪井線地方特定道路整備工事に係る意見書","株式会社
井崎不動産鑑定事務所","単価契約","H29.8.10","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","奥佐々阪井線地方特定道路整備工事に係る意見書","株式会社
井崎不動産鑑定事務所","単価契約","H29.8.10","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","太地新宮自転車道線サイクリングロード整備工事に係る不動産鑑定業務","清水不動産鑑定士事務所","単価契約","H29.8.10","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","梶取崎線小規模道路改良工事に伴う不動産鑑定業務","有限会社
紀州不動産鑑定事務所","単価契約","H29.8.17","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","三田海南線道路改良に係る不動産鑑定","清水不動産鑑定士事務所","単価契約","H29.8.18","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","三田海南線道路改良に係る意見書","清水不動産鑑定士事務所","単価契約","H29.8.18","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","畑峰峠谷川砂防事業に係る不動産鑑定業務","藍畑不動産鑑定事務所","単価契約","H29.8.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","古井西の地線交付金交通安全事業に係る意見書","株式会社
井崎不動産鑑定事務所","単価契約","H29.8.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","田辺印南線道路改良事業に係る不動産鑑定業務","藍畑不動産鑑定事務所","単価契約","H29.8.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","白浜久木線道路改良事業に係る意見書","有限会社
紀州不動産鑑定事務所","単価契約","H29.8.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","白浜久木線道路改良事業に係る意見書","小林一三不動産鑑定事務所","単価契約","H29.8.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","和歌山橋本線交付金交通安全工事に係る意見書","小川不動産鑑定事務所","単価契約","H29.8.23","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","和歌山橋本線交付金交通安全工事に係る意見書","小川不動産鑑定事務所","単価契約","H29.8.23","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","海南金屋線道路改良工事に係る不動産鑑定","小川不動産鑑定事務所","単価契約","H29.8.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","温川田辺線小規模道路改良工事に係る不動産鑑定業務","藍畑不動産鑑定事務所","単価契約","H29.8.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","温川田辺線小規模道路改良工事に係る不動産鑑定業務","藍畑不動産鑑定事務所","単価契約","H29.8.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","粉河加太線道路改良工事に係る不動産鑑定評価","株式会社
明和不動産鑑定所","単価契約","H29.9.1","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","粉河加太線交通安全施設等整備工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","H29.9.1","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","大崎加茂郷停車場線小規模道路改良工事に係る不動産鑑定","イーストノース株式会社","単価契約","H29.9.4","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","大崎加茂郷停車場線小規模道路改良工事に係る不動産鑑定","イーストノース株式会社","単価契約","H29.9.4","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","大崎加茂郷停車場線小規模道路改良工事に係る不動産鑑定","イーストノース株式会社","単価契約","H29.9.4","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","有田湯浅線道路改良工事に係る不動産鑑定業務","有限会社
衣奈不動産鑑定所","単価契約","H29.9.4","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており、経験が豊富であるため。",""
